benchmark,system,task_id,status,correct,expected_answer,final_answer,runtime_seconds,text_chars
DAComp-DA,DeepEye,dacomp-zh-051,failed,,,,85.269,48
DAComp-DA,DeepEye,dacomp-zh-052,completed,,,,70.234,1486
DAComp-DA,DeepEye,dacomp-zh-053,failed,,,,140.454,136
DAComp-DA,DeepEye,dacomp-zh-054,failed,,,,70.523,532
DAComp-DA,DeepEye,dacomp-zh-055,failed,,,,60.243,863
DAComp-DA,DeepEye,dacomp-zh-056,failed,,,,60.196,539
DAComp-DA,DeepEye,dacomp-zh-057,failed,,,,150.412,48
DAComp-DA,DeepEye,dacomp-zh-058,failed,,,,45.168,555
DAComp-DA,DeepEye,dacomp-zh-059,failed,,,,30.127,122
DAComp-DA,DeepEye,dacomp-zh-060,completed,,,,65.244,1095
DAComp-DA,DeepEye,dacomp-zh-061,completed,,,,54.878,502
DAComp-DA,DeepEye,dacomp-zh-062,completed,,,,185.486,429
DAComp-DA,DeepEye,dacomp-zh-063,completed,,,,50.161,11
DAComp-DA,DeepEye,dacomp-zh-064,timeout,,,,180.545,0
DAComp-DA,DeepEye,dacomp-zh-065,timeout,,,,120.262,0
DAComp-DA,DeepEye,dacomp-zh-066,timeout,,,,120.332,0
DAComp-DA,DeepEye,dacomp-zh-067,timeout,,,,1164.466,0
DAComp-DA,DeepEye,dacomp-zh-068,timeout,,,,2004.401,0
DAComp-DA,DeepEye,dacomp-zh-069,timeout,,,,1316.172,0
DAComp-DA,DeepEye,dacomp-zh-070,timeout,,,,2009.375,0
DAComp-DA,DeepEye,dacomp-zh-071,timeout,,,,2865.754,0
DAComp-DA,DeepEye,dacomp-zh-072,timeout,,,,1669.622,0
DAComp-DA,DeepEye,dacomp-zh-073,timeout,,,,2058.204,0
DAComp-DA,DeepEye,dacomp-zh-074,timeout,,,,1622.587,0
DAComp-DA,DeepEye,dacomp-zh-075,timeout,,,,2142.115,0
DAComp-DA,DeepEye,dacomp-zh-076,timeout,,,,2456.123,0
DAComp-DA,DeepEye,dacomp-zh-077,timeout,,,,1952.217,0
DAComp-DA,DeepEye,dacomp-zh-078,timeout,,,,2053.377,0
DAComp-DA,DeepEye,dacomp-zh-079,timeout,,,,3015.547,0
DAComp-DA,DeepEye,dacomp-zh-080,timeout,,,,2024.406,0
DAComp-DA,DeepEye,dacomp-zh-081,timeout,,,,1925.96,0
DAComp-DA,DeepEye,dacomp-zh-082,timeout,,,,2020.898,0
DAComp-DA,DeepEye,dacomp-zh-083,timeout,,,,2759.238,0
DAComp-DA,DeepEye,dacomp-zh-084,timeout,,,,2096.303,0
DAComp-DA,DeepEye,dacomp-zh-085,timeout,,,,3199.557,0
DAComp-DA,DeepEye,dacomp-zh-086,timeout,,,,2009.341,0
DAComp-DA,DeepEye,dacomp-zh-087,timeout,,,,2872.33,0
DAComp-DA,DeepEye,dacomp-zh-088,timeout,,,,1255.252,0
DAComp-DA,DeepEye,dacomp-zh-089,timeout,,,,1999.266,0
DAComp-DA,DeepEye,dacomp-zh-090,timeout,,,,1964.528,0
DAComp-DA,DeepEye,dacomp-zh-091,timeout,,,,2947.56,0
DAComp-DA,DeepEye,dacomp-zh-092,timeout,,,,120.378,0
DAComp-DA,DeepEye,dacomp-zh-093,timeout,,,,120.402,0
DAComp-DA,DeepEye,dacomp-zh-094,timeout,,,,120.345,0
DAComp-DA,DeepEye,dacomp-zh-095,timeout,,,,120.391,0
DAComp-DA,DeepEye,dacomp-zh-096,timeout,,,,120.359,0
DAComp-DA,DeepEye,dacomp-zh-097,timeout,,,,120.619,0
DAComp-DA,DeepEye,dacomp-zh-098,timeout,,,,120.36,0
DAComp-DA,DeepEye,dacomp-zh-099,timeout,,,,120.38,0
DAComp-DA,DeepEye,dacomp-zh-100,timeout,,,,120.366,0
